GameWeek,HomeTeam,AwayTeam,HomeGoals,AwayGoals
19,West Ham,Southampton,2,1
19,Leicester,Man City,0,0
19,Sunderland,Liverpool,0,1
20,Arsenal,Newcastle,1,0
20,Leicester,Bournemouth,0,0
20,Man United,Swansea,2,1
20,Norwich,Southampton,1,0
20,Sunderland,Aston Villa,3,1
20,Watford,Man City,1,2
20,West Brom,Stoke,2,1
20,West Ham,Liverpool,2,0
20,Crystal Palace,Chelsea,0,3
20,Everton,Tottenham,1,1
21,Aston Villa,Crystal Palace,1,0
21,Bournemouth,West Ham,1,3
21,Newcastle,Man United,3,3
21,Chelsea,West Brom,2,2
21,Liverpool,Arsenal,3,3
21,Man City,Everton,0,0
21,Southampton,Watford,2,0
21,Stoke,Norwich,3,1
21,Swansea,Sunderland,2,4
21,Tottenham,Leicester,0,1
22,Aston Villa,Leicester,1,1
22,Bournemouth,Norwich,3,0
22,Chelsea,Everton,3,3
22,Man City,Crystal Palace,4,0
22,Newcastle,West Ham,2,1
22,Southampton,West Brom,3,0
22,Tottenham,Sunderland,4,1
22,Liverpool,Man United,0,1
22,Stoke,Arsenal,0,0
22,Swansea,Watford,1,0
23,Crystal Palace,Tottenham,1,3
23,Leicester,Stoke,3,0
23,Man United,Southampton,0,1
23,Norwich,Liverpool,4,5
23,Sunderland,Bournemouth,1,1
23,Watford,Newcastle,2,1
23,West Brom,Aston Villa,0,0
23,West Ham,Man City,2,2
23,Arsenal,Chelsea,0,1
23,Everton,Swansea,1,2
24,Arsenal,Southampton,0,0
24,Crystal Palace,Bournemouth,1,2
24,Leicester,Liverpool,2,0
24,Man United,Stoke,3,0
24,Norwich,Tottenham,0,3
24,Sunderland,Man City,0,1
24,West Brom,Swansea,1,1
24,West Ham,Aston Villa,2,0
24,Everton,Newcastle,3,0
24,Watford,Chelsea,0,0
25,Aston Villa,Norwich,2,0
25,Liverpool,Sunderland,2,2
25,Man City,Leicester,1,3
25,Newcastle,West Brom,1,0
25,Southampton,West Ham,1,0
